id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,id_player,GK,S,M,D,F
1485_14-15_seriea,Andrea Masiello,14,1103,0,0.11554162204265594,0,0.20380786713212729,1,5,3,0,D M S,Atalanta,0,0.11554162204265594,2.4984084274619818,2.286579741165042,1485,0,1,1,1,0
1490_14-15_seriea,Boukary Dramé,29,2425,0,0.5753262252546847,3,1.9058852028101685,20,16,7,0,D M S,Atalanta,0,0.5753262252546847,4.209262749180199,3.27571533061564,1490,0,1,1,1,0
1495_14-15_seriea,Abdoulay Konko,2,133,0,0.16103525459766388,0,0.045947622507810586,3,2,0,0,D S,Lazio,0,0.16103525459766388,0.3810966014862061,0.30091392993927,1495,0,1,0,1,0
1499_14-15_seriea,Cristian Raimondi,6,312,0,0.06758761405944824,2,0.7423077262938023,2,3,1,0,M S,Atalanta,0,0.06758761405944824,1.3679558709263802,0.6527434960007668,1499,0,1,1,0,0
1500_14-15_seriea,Leonardo Spinazzola,2,40,0,0.0,0,0.0,0,0,0,0,S,Atalanta,0,0.0,0.0,0.0,1500,0,1,0,0,0
1501_14-15_seriea,Marco Sportiello,37,3330,0,0.0,0,0.042632805183529854,0,2,4,0,GK,Atalanta,0,0.0,1.7193229235708714,1.6766901183873415,1501,1,0,0,0,0
1502_14-15_seriea,Marco D&#039;Alessandro,25,969,0,0.9926361897960304,1,1.0467103496193886,11,7,6,0,F M S,Atalanta,0,0.9926361897960304,3.1108468687161803,1.2781139891594648,1502,0,1,1,0,1
1504_14-15_seriea,Alberto Grassi,3,201,0,0.04532188735902309,0,0.04040725529193878,2,1,0,0,M S,Atalanta,0,0.04532188735902309,0.6951633095741272,0.6498414278030396,1504,0,1,1,0,0
1505_14-15_seriea,Samir Handanovic,37,3330,0,0.0,0,0.0,0,0,2,0,GK,Inter,0,0.0,4.66923906095326,4.66923906095326,1505,1,0,0,0,0
1506_14-15_seriea,Yuto Nagatomo,14,889,0,0.3376621678471565,0,0.513740461319685,9,10,1,1,D F S,Inter,0,0.3376621678471565,2.852433258667588,2.199768435209989,1506,0,1,0,1,1
